GFOSS_contig_ID	C-1	C-2	C-3	C-4	C-5	C-Ac-1	C-Ac-2	C-Ac-3	C-Ac-4	C-Ac-5	Cd-C1-1	Cd-C1-2	Cd-C1-3	Cd-C1-4	Cd-C1-5	Cd-C3-1	Cd-C3-2	Cd-C3-3	Cd-C3-4	Cd-C3-5	MET-C1-1	MET-C1-2	MET-C1-3	MET-C1-4	MET-C1-5	MET-C2-1	MET-C2-2	MET-C2-3	MET-C2-4	MET-C2-5	PYR-C1-1	PYR-C1-2	PYR-C1-3	PYR-C1-4	PYR-C1-5	PYR-C3-1	PYR-C3-2	PYR-C3-3	PYR-C3-4	PYR-C3-5
48222_fr4	0	0	0	0	0	0	0	0	0	0	0	1	0	5	4	5	5	0	0	0	0	6	0	5	0	1	6	0	0	5	6	0	6	0	4	5	6	0	0	6
48266_fr3	2	3	0	2	0	2	2	1	3	3	4	2	2	2	3	2	3	1	3	5	2	3	3	2	2	2	1	1	1	2	6	6	2	4	2	4	4	3	2	2
48351_fr4	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	2	0	0	0	0	0	0	0	0	2	0	0	0	2	3	0	2	0	0	0	0
48484_fr2	0	0	0	0	0	2	2	0	7	0	0	3	0	0	4	6	3	3	0	1	1	4	3	0	2	0	3	6	2	0	4	5	4	0	0	0	7	7	1	7
48693_fr3	5	2	0	6	2	5	2	2	7	0	0	5	2	13	4	1	7	0	1	0	1	1	1	11	6	3	8	4	5	9	4	6	4	3	11	9	9	15	9	0
48741_fr3	12	3	2	0	4	13	5	7	6	13	5	0	6	0	0	0	0	4	6	15	6	0	0	0	0	0	0	4	0	0	0	7	0	9	0	2	0	4	6	1
48760_fr1	9	10	0	23	0	17	20	7	10	19	6	0	13	14	13	11	5	15	17	19	17	12	17	1	12	3	14	10	17	2	20	15	8	19	8	24	14	9	15	6
48770_fr4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
48779_fr4	2	2	0	1	1	0	0	0	1	0	2	2	0	3	1	1	0	1	0	2	1	3	2	9	2	1	3	2	2	2	1	1	3	2	4	2	1	1	1	2
48828_fr2	2	2	2	0	2	2	2	2	2	2	0	3	2	0	3	0	2	2	2	2	2	2	2	6	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2
48868_fr5	4	5	4	8	6	4	7	5	68	18	4	4	4	4	4	4	4	4	4	8	4	4	5	4	4	4	4	4	4	4	14	13	4	7	4	10	4	4	6	6
48876_fr6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	1	1	0	0	0	1	2	2	2	3	0	0	0
48901_fr2	0	0	2	0	5	2	0	3	0	6	2	2	0	2	0	2	0	4	4	2	4	4	4	5	4	4	4	0	6	7	1	6	5	10	4	1	4	0	0	11
49126_fr2	0	0	0	4	0	0	0	1	2	0	4	3	1	5	2	4	1	0	0	0	2	0	1	5	1	0	1	0	2	2	4	1	2	2	0	0	2	2	2	0
49231_fr6	0	0	0	4	0	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	2	0
49244_fr3	0	0	0	4	0	0	0	0	5	7	0	3	3	0	0	0	2	2	0	2	8	4	2	1	10	0	3	4	6	0	4	7	5	2	5	6	6	1	13	6
49275_fr3	0	0	5	0	0	2	0	0	0	0	1	0	0	2	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0
49276_fr4	3	1	0	7	1	4	9	1	28	3	5	0	0	0	0	0	15	2	4	8	7	1	2	2	0	1	5	1	4	5	7	6	0	3	1	5	4	2	1	1
49289_fr4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
49678_fr2	0	0	0	0	0	9	4	0	0	0	0	0	0	0	5	0	0	0	4	10	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	4	6	0
49680_fr4	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
49809_fr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
50392_fr3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50412_fr1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
50440_fr1	0	0	0	2	0	0	0	0	1	2	2	6	8	6	6	0	0	1	1	1	1	1	5	5	6	0	0	1	6	1	9	8	6	6	6	6	6	8	2	6
50566_fr5	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	4	0	0	0	3	5	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
50707_fr5	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	1	0	0	2	1	2	2	0	0	3	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0
50923_fr1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	4	0	6
51071_fr6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
51327_fr5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51377_fr2	0	0	4	4	4	0	0	0	0	1	0	0	4	0	4	0	0	4	0	0	2	4	0	0	0	4	4	3	4	0	0	2	4	0	4	1	2	0	0	3
51491_fr2	0	0	0	2	0	3	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	8	3	0	6	0
53019_fr4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62638_fr5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
63604_fr6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
65834_fr4	2	2	0	7	0	0	0	4	9	11	9	12	7	13	9	9	10	11	7	18	12	12	13	10	11	13	11	7	11	11	10	10	11	12	13	11	11	16	9	9
69698_fr2	1	0	1	0	0	0	0	0	0	0	2	4	0	1	0	1	2	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
69913_fr6	8	8	8	4	6	5	0	8	5	6	8	7	8	4	6	8	2	7	4	0	4	7	0	1	7	5	8	6	7	3	5	6	7	6	5	8	6	4	0	4
71063_fr4	0	8	11	6	11	0	7	16	13	0	5	11	5	9	4	8	4	6	6	0	8	5	4	6	9	11	4	17	4	4	6	7	5	0	4	8	4	5	7	4
72484_fr6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
85980_fr2	0	0	0	0	0	0	0	0	0	1	4	1	2	0	1	0	0	0	0	0	2	0	0	0	4	0	2	0	2	4	2	2	4	4	2	0	3	0	2	3
87607_fr3	2	0	0	2	2	0	4	2	6	0	3	2	0	0	0	0	0	0	0	0	0	2	2	3	0	2	2	3	0	0	0	2	1	2	2	0	2	0	0	0
